QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
607029,Health & Medicine,First Aid & Emergency Care,Medium,900,What is the primary goal of first aid in emergency care?,To cure the patient,To prevent further injury and promote recovery,To provide comfort and emotional support,To transport the patient to a hospital,OptionB
607029,Health & Medicine,First Aid & Emergency Care,Medium,900,What should you do if someone is choking and cannot cough?,Perform the Heimlich maneuver,Call 911 and wait for help to arrive,Try to remove the object from their mouth,Give them a glass of water to drink,OptionA
607029,Health & Medicine,First Aid & Emergency Care,Medium,900,What is the proper technique for CPR on an adult?,30 chest compressions followed by 2 breaths,15 chest compressions followed by 1 breath,2 breaths followed by 30 chest compressions,1 breath followed by 15 chest compressions,OptionA
607029,Health & Medicine,First Aid & Emergency Care,Medium,900,What should you do if someone has a severe burn?,Apply a topical antibiotic ointment and cover with a bandage,Run cool tap water over the burn for 10-15 minutes,Apply ice to the burn,Break the burn blister to drain the fluid,OptionB
607029,Health & Medicine,First Aid & Emergency Care,Medium,900,What is the first step in responding to a medical emergency?,Call 911 and provide care,Provide care and then call 911,Assess the scene for safety and then call 911,Check the patient's vital signs,OptionC
607029,Health & Medicine,First Aid & Emergency Care,Medium,900,What should you do if someone is experiencing an allergic reaction?,Administer epinephrine using an EpiPen,Give them an antihistamine,Call 911 and provide care,Try to identify the allergen and remove it,OptionA
607029,Health & Medicine,First Aid & Emergency Care,Medium,900,What is the purpose of the recovery position in first aid?,To facilitate breathing and prevent aspiration,To immobilize the patient and prevent movement,To reduce swelling and promote healing,To increase blood flow and prevent shock,OptionA
607029,Health & Medicine,First Aid & Emergency Care,Medium,900,What should you do if someone is bleeding heavily?,Apply direct pressure to the wound using a clean cloth,Elevate the injured limb above heart level,Apply a tourniquet to the affected limb,Give them a drink of water to replenish fluids,OptionA
607029,Health & Medicine,First Aid & Emergency Care,Medium,900,What is the proper way to splint a broken arm?,Use a rigid splint and immobilize the joint,Use a soft splint and allow for some movement,Apply ice to reduce swelling,Elevate the arm above heart level,OptionA
607029,Health & Medicine,First Aid & Emergency Care,Medium,900,What should you do if someone is experiencing a seizure?,Try to restrain them and prevent movement,Loosen tight clothing and clear the area of hazards,Give them medication to stop the seizure,Call 911 and provide care,OptionB
