QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
300463,Sports & Games,Sports Rules & History,Medium,900,When was the first modern Olympic Games held?,1900,1888,1896,1912,1896
300463,Sports & Games,Sports Rules & History,Medium,900,"In soccer, how many yellow cards result in a player being sent off the field?",One,Three,Two,Four,Two
300463,Sports & Games,Sports Rules & History,Medium,900,Which sport is associated with the 'Stanley Cup'?,Basketball,Ice Hockey,Baseball,Football,Ice Hockey
300463,Sports & Games,Sports Rules & History,Medium,900,What is the maximum duration of a round in professional boxing?,2 minutes,5 minutes,3 minutes,4 minutes,3 minutes
300463,Sports & Games,Sports Rules & History,Medium,900,"In tennis, what is the term for a score of zero?",Nil,Love,Duck,Zero,Love
300463,Sports & Games,Sports Rules & History,Medium,900,Which country hosted the first FIFA World Cup in 1930?,Brazil,Italy,France,Uruguay,Uruguay
300463,Sports & Games,Sports Rules & History,Medium,900,"In basketball, how many points is a shot worth if made from beyond the three-point line?",2 points,1 point,4 points,3 points,3 points
300463,Sports & Games,Sports Rules & History,Medium,900,What is the penalty for a 'high tackle' in rugby?,Free kick,Penalty kick or potential card,Throw-in,Drop goal,Penalty kick or potential card
300463,Sports & Games,Sports Rules & History,Medium,900,When was the first Super Bowl played?,1970,1967,1955,1980,1967
300463,Sports & Games,Sports Rules & History,Medium,900,"In cricket, how many balls are bowled in a standard over?",8,10,6,4,6
