QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
967378,Entertainment & Pop Culture,Web Series,Medium,900,Which web series is based on the novel of the same name by Caroline Kepnes?,Orange Is the New Black,You,Stranger Things,Narcos,You
967378,Entertainment & Pop Culture,Web Series,Medium,900,"In the web series 'Money Heist', what is the name of the mastermind?",Tokyo,Rio,The Professor,Berlin,The Professor
967378,Entertainment & Pop Culture,Web Series,Medium,900,"Which web series is set in the fictional town of Hawkins, Indiana?",The Haunting of Hill House,Stranger Things,The Umbrella Academy,Black Mirror,Stranger Things
967378,Entertainment & Pop Culture,Web Series,Medium,900,Who plays the lead role in the web series 'Luther'?,Tom Hiddleston,Idris Elba,Benedict Cumberbatch,Michael Fassbender,Idris Elba
967378,Entertainment & Pop Culture,Web Series,Medium,900,Which web series is a psychological thriller that follows a stalker?,Killing Eve,Pennsylvania,You,Mindhunter,You
967378,Entertainment & Pop Culture,Web Series,Medium,900,What is the name of the web series that follows the story of the Baudelaire orphans?,The Witcher,A Series of Unfortunate Events,The Umbrella Academy,Black Mirror,A Series of Unfortunate Events
967378,Entertainment & Pop Culture,Web Series,Medium,900,Which web series is based on the Marvel Comics characters?,The Flash,Daredevil,Arrow,Supergirl,Daredevil
967378,Entertainment & Pop Culture,Web Series,Medium,900,Who plays the lead role in the web series 'Jessica Jones'?,Krysten Ritter,Charlie Cox,Mike Colter,Finn Jones,Krysten Ritter
967378,Entertainment & Pop Culture,Web Series,Medium,900,Which web series is a science fiction horror series created by Mike Flanagan?,The Haunting of Hill House,Stranger Things,The Umbrella Academy,Black Mirror,The Haunting of Hill House
967378,Entertainment & Pop Culture,Web Series,Medium,900,Which web series follows the story of a group of siblings with superpowers?,The Umbrella Academy,The Haunting of Hill House,Stranger Things,Black Mirror,The Umbrella Academy
