QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
936193,Sports & Games,Cricket,Medium,900,Which country won the first ever Cricket World Cup in 1975?,Australia,England,West Indies,India,West Indies
936193,Sports & Games,Cricket,Medium,900,What is the maximum number of overs a bowler can bowl in a One Day International (ODI) match?,8,10,12,15,10
936193,Sports & Games,Cricket,Medium,900,Who holds the record for the highest individual score in a Test match?,Sachin Tendulkar,Brian Lara,Don Bradman,Ricky Ponting,Brian Lara
936193,Sports & Games,Cricket,Medium,900,"In cricket, what does the term 'Duck' refer to?",A bowler taking a wicket,A batsman scoring 100 runs,A batsman getting out on zero runs,A match ending in a tie,A batsman getting out on zero runs
936193,Sports & Games,Cricket,Medium,900,Which of these is NOT a fielding position in cricket?,Silly Point,Mid-Wicket,Long Stop,Quarterback,Quarterback
936193,Sports & Games,Cricket,Medium,900,How many players are there in a standard cricket team on the field at one time?,9,10,11,12,11
936193,Sports & Games,Cricket,Medium,900,Which Indian cricketer is known as the 'God of Cricket'?,Virat Kohli,MS Dhoni,Sachin Tendulkar,Rahul Dravid,Sachin Tendulkar
936193,Sports & Games,Cricket,Medium,900,What is the standard length of a cricket pitch from stump to stump?,20 yards,22 yards,24 yards,18 yards,22 yards
936193,Sports & Games,Cricket,Medium,900,Which of these bowlers has taken the most wickets in international cricket?,Shane Warne,Muttiah Muralitharan,Wasim Akram,Glenn McGrath,Muttiah Muralitharan
936193,Sports & Games,Cricket,Medium,900,What is a 'No Ball' in cricket?,A delivery that bounces twice before reaching the batsman,A legal delivery that the batsman misses,"An illegal delivery by the bowler, often due to overstepping",A ball that goes for a six without being hit,"An illegal delivery by the bowler, often due to overstepping"
