QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
415878,Logical & Aptitude Reasoning,Logical Reasoning,Hard,1200,"If all roses are flowers, some flowers fade quickly, and all faded things are to be avoided, which one of the following statements must be true?",Some roses may need to be avoided.,All flowers are roses.,No rose fades quickly.,All faded things are roses.,Some roses may need to be avoided.
415878,Logical & Aptitude Reasoning,Logical Reasoning,Hard,1200,Sonia is taller than Priya but shorter than Anuj. Neeraj is taller than Anuj. Who among them is the tallest?,Priya,Neeraj,Sonia,Anuj,Neeraj
415878,Logical & Aptitude Reasoning,Logical Reasoning,Hard,1200,"In a code language, FLOWER is written as GMSXFS. How is MARKET written in the same code?",NBSLFS,NBQLFS,NBSLFT,NBRLFS,NBSLFS
415878,Logical & Aptitude Reasoning,Logical Reasoning,Hard,1200,"If the sequence of letters 'A C B D E F G' is rearranged in descending alphabetical order, which letter comes third?",E,D,C,F,E
415878,Logical & Aptitude Reasoning,Logical Reasoning,Hard,1200,"Ravi started walking towards east. After walking 25 meters he turned to his left and walked 15 meters. He then turned left again and walked 25 meters. Finally, he turned to his right and walked 20 meters. How far is Ravi from his starting point?",20 meters,15 meters,35 meters,40 meters,15 meters
415878,Logical & Aptitude Reasoning,Logical Reasoning,Hard,1200,"If ITALY is coded as JUBMZ, how would GERMAN be coded?",HFTOBO,HFSMBO,HFSMBN,HFSMAN,HFSMBO
415878,Logical & Aptitude Reasoning,Logical Reasoning,Hard,1200,"In a row, A is sixth from the left and B is fifth from the right. If both exchange their positions, A becomes 13th from the left. How many people are there in the row?",19,17,18,16,17
415878,Logical & Aptitude Reasoning,Logical Reasoning,Hard,1200,A statement is followed by two conclusions. Statement: All pens are books. No book is a table. Conclusions: I. No pen is a table. II. Some books are pens.,Only conclusion I follows.,Only conclusion II follows.,Both conclusions follow.,Neither conclusion follows.,Both conclusions follow.
415878,Logical & Aptitude Reasoning,Logical Reasoning,Hard,1200,"Find the odd one out among the following series: 2, 6, 12, 20, 30, 42, 56.",20,30,42,12,20
415878,Logical & Aptitude Reasoning,Logical Reasoning,Hard,1200,'Eat' is to 'Food' as 'Breathe' is to:,Air,Light,Water,Smoke,Air
