QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
427632,"AI, Ethics & Future",Automation,Hard,1200,Which ethical dilemma is most commonly associated with the use of autonomous decision-making systems in criminal justice?,Potential bias in sentencing outcomes,Error-free evidence collection,Advancement in forensic medicine,Improved case backlog clearance,Potential bias in sentencing outcomes
427632,"AI, Ethics & Future",Automation,Hard,1200,What principle is suggested by the 'Future of Life Institute' to mitigate risks related to AI automation?,Unrestricted deployment,Transparency and accountability,Proprietary secrecy,Autonomy over human oversight,Transparency and accountability
427632,"AI, Ethics & Future",Automation,Hard,1200,Which concept refers to the moral responsibility an AI system has for decisions made autonomously?,Distributed cognition,Algorithmic bias,Agency in automation,Machine ethics,Machine ethics
427632,"AI, Ethics & Future",Automation,Hard,1200,The phenomenon where automation eliminates jobs faster than new opportunities can be created is known as:,Technological singularity,Skill gap acceleration,Structural unemployment,Moore's law,Structural unemployment
427632,"AI, Ethics & Future",Automation,Hard,1200,Which global treaty attempts to restrict the use of fully autonomous weapons systems?,Geneva Convention,Montreal Protocol,Convention on Certain Conventional Weapons (CCW),Kyoto Protocol,Convention on Certain Conventional Weapons (CCW)
427632,"AI, Ethics & Future",Automation,Hard,1200,"In AI automation, what is the main ethical concern regarding 'black box' models?",Slower performance,Limited scalability,Lack of interpretability in decision-making,Excessive energy usage,Lack of interpretability in decision-making
427632,"AI, Ethics & Future",Automation,Hard,1200,Which philosopher’s framework is often used to debate the ethics of automated AI decision-making?,Immanuel Kant’s categorical imperative,Plato’s theory of forms,Aristotle’s virtue ethics,John Rawls’ theory of justice,Immanuel Kant’s categorical imperative
427632,"AI, Ethics & Future",Automation,Hard,1200,What is one potential consequence of the widespread implementation of AI-driven automation in manufacturing?,Reduced carbon footprint,Increase in income inequality,Expansion of artisanal labor,Rapid growth in manual labor jobs,Increase in income inequality
427632,"AI, Ethics & Future",Automation,Hard,1200,Which regulatory approach aims to ensure safe and ethical deployment of AI automation in public sectors?,Self-regulation by corporations,Mandatory government oversight,Open-source development,Decentralized blockchain systems,Mandatory government oversight
427632,"AI, Ethics & Future",Automation,Hard,1200,The problem of 'algorithmic bias' in automation is best mitigated by:,Increasing data volume,Regular algorithm auditing,Ignoring minority data points,Eliminating human interaction,Regular algorithm auditing
