QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
248845,"AI, Ethics & Future",Artificial Intelligence,Medium,900,What is the primary concern of AI ethicists regarding the development of autonomous weapons?,Job displacement,Bias in decision-making,Loss of human life,Machine learning algorithms,OptionC
248845,"AI, Ethics & Future",Artificial Intelligence,Medium,900,Which of the following AI applications raises concerns about surveillance and privacy?,Virtual assistants,Predictive maintenance,Facial recognition technology,Chatbots,OptionC
248845,"AI, Ethics & Future",Artificial Intelligence,Medium,900,What is the name of the AI system that defeated a human world champion in Go in 2016?,DeepMind's AlphaGo,IBM's Watson,Microsoft's Bot Framework,Google's Duplex,OptionA
248845,"AI, Ethics & Future",Artificial Intelligence,Medium,900,Which AI concept is related to the idea that machines should be able to understand and replicate human emotions?,Cognitive computing,Affective computing,Natural language processing,Machine learning,OptionB
248845,"AI, Ethics & Future",Artificial Intelligence,Medium,900,What is the term for the phenomenon where AI systems perpetuate and amplify existing social biases?,AI drift,Bias amplification,Cascading errors,Feedback loops,OptionB
248845,"AI, Ethics & Future",Artificial Intelligence,Medium,900,Which of the following is NOT a benefit of using AI in healthcare?,Improved diagnosis accuracy,Increased patient engagement,Reduced costs,Loss of human empathy,OptionD
248845,"AI, Ethics & Future",Artificial Intelligence,Medium,900,What is the name of the AI research area focused on developing machines that can learn from experience and improve over time?,Machine learning,Deep learning,Reinforcement learning,Cognitive architectures,OptionC
248845,"AI, Ethics & Future",Artificial Intelligence,Medium,900,Which AI concept is related to the idea of machines being able to perform tasks that typically require human intelligence?,Artificial general intelligence,Narrow or weak AI,Cognitive computing,Machine learning,OptionA
248845,"AI, Ethics & Future",Artificial Intelligence,Medium,900,"What is the term for the hypothetical scenario in which AI surpasses human intelligence, leading to exponential growth in technological advancements?",AI winter,AI singularity,AI convergence,AI divergence,OptionB
248845,"AI, Ethics & Future",Artificial Intelligence,Medium,900,Which of the following is a potential solution to the job displacement caused by AI automation?,Basic income guarantees,Upskilling and reskilling programs,Industry consolidation,Trade protectionism,OptionB
