QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
433612,Entertainment & Pop Culture,Awards & Events,Medium,900,Which of the following awards is considered the most prestigious honor in the American film industry?,Golden Globe Awards,Academy Awards,Screen Actors Guild Awards,Critics' Choice Awards,Academy Awards
433612,Entertainment & Pop Culture,Awards & Events,Medium,900,Which musician has won the most Grammy Awards?,Beyoncé,Taylor Swift,Kanye West,Georg Solti,Georg Solti
433612,Entertainment & Pop Culture,Awards & Events,Medium,900,What is the name of the annual music awards ceremony broadcast by MTV?,Billboard Music Awards,American Music Awards,MTV Video Music Awards,iHeartRadio Music Awards,MTV Video Music Awards
433612,Entertainment & Pop Culture,Awards & Events,Medium,900,Which of the following actors has hosted the Academy Awards the most times?,Bob Hope,Johnny Carson,Billy Crystal,Whoopi Goldberg,Bob Hope
433612,Entertainment & Pop Culture,Awards & Events,Medium,900,Which award is given to recognize excellence in television programming?,Emmy Awards,Golden Globe Awards,Screen Actors Guild Awards,People's Choice Awards,Emmy Awards
433612,Entertainment & Pop Culture,Awards & Events,Medium,900,Which artist has won the most American Music Awards?,Taylor Swift,Kenny Rogers,Alabama,Michael Jackson,Taylor Swift
433612,Entertainment & Pop Culture,Awards & Events,Medium,900,What is the name of the annual awards ceremony that honors outstanding work in the video game industry?,The Game Awards,Spike Video Game Awards,Golden Joystick Awards,DICE Awards,The Game Awards
433612,Entertainment & Pop Culture,Awards & Events,Medium,900,Which of the following film festivals is one of the most prestigious and oldest in the world?,Cannes Film Festival,Sundance Film Festival,Toronto International Film Festival,Venice Film Festival,Venice Film Festival
433612,Entertainment & Pop Culture,Awards & Events,Medium,900,Which of the following awards is presented annually to recognize excellence in journalism?,Pulitzer Prize,National Book Award,PEN/Faulkner Award,National Magazine Award,Pulitzer Prize
433612,Entertainment & Pop Culture,Awards & Events,Medium,900,Which musician has been named the most successful songwriter on the UK Singles Chart?,Paul McCartney,John Lennon,Elton John,Madonna,Paul McCartney
