QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
955741,Business & Finance,Stock Market,Medium,900,What is the main reason a company might perform a stock split?,To increase the total value of the company,To lower the price per share and increase liquidity,To distribute profits to shareholders,To change the number of shareholders,B
955741,Business & Finance,Stock Market,Medium,900,"In a bull market, stock prices generally:",Decline steadily,Remain unchanged,Fluctuate wildly,Rise over time,D
955741,Business & Finance,Stock Market,Medium,900,What does the acronym NASDAQ stand for?,National Association of Stock Dealers and Quotations,New Automated Stock Exchange Directory,National Association of Securities Dealers Automated Quotations,North American Stock and Derivative Quotations,C
955741,Business & Finance,Stock Market,Medium,900,What is the primary role of a stockbroker?,To buy and sell stocks on behalf of clients,To manage a company's financial statements,To regulate stock market activities,To provide economic forecasts,A
955741,Business & Finance,Stock Market,Medium,900,IPO stands for:,Initial Private Offering,Initial Public Offering,International Stock Offering,Investors Public Option,B
955741,Business & Finance,Stock Market,Medium,900,Stock prices are primarily determined by:,Fixed by stock exchanges,Based on company assets,Determined by CEO decisions,Supply and demand among buyers and sellers,D
955741,Business & Finance,Stock Market,Medium,900,What is the main benefit of diversification in stock investing?,Higher dividend yields,Faster capital growth,Lower overall investment risk,Simplified portfolio management,C
955741,Business & Finance,Stock Market,Medium,900,What is a dividend in the context of stocks?,A portion of a company's profits paid to shareholders,The difference between stock buy and sell price,A type of stock split,An annual fee charged by brokers,A
955741,Business & Finance,Stock Market,Medium,900,Which of the following is a major U.S. stock exchange?,London Stock Exchange,New York Stock Exchange,Tokyo Stock Exchange,Shanghai Stock Exchange,B
955741,Business & Finance,Stock Market,Medium,900,How do rising interest rates typically affect the stock market?,Lead to higher inflation and stock growth,Make stocks more attractive than bonds,Can lead to lower stock prices due to higher borrowing costs,Always result in a bull market,C
