QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
324169,Logical & Aptitude Reasoning,Logical Reasoning,Medium,900,"A snail is at the bottom of a 20-foot well. Each day, it climbs up 3 feet, but at night, it slips back 2 feet. How many days will it take for the snail to reach the top of the well?",14 days,24 days,27 days,18 days,OptionC
324169,Logical & Aptitude Reasoning,Logical Reasoning,Medium,900,"There are three switches, but they are not labelled. Each switch corresponds to one of three light bulbs in a room. Each bulb is either on or off. You can turn the lights on and off as many times as you want, but you can only enter the room one time. How can you figure out which switch belongs to which light bulb?","Turn two switches on for 5 minutes, then turn one off, then enter the room.","Turn one switch on for 10 minutes, then turn two switches on, then enter the room.","Turn one switch on for 10 minutes, then turn one switch off and one switch on, then enter the room.","Turn one switch on and off in an alternating pattern, then enter the room.",OptionA
324169,Logical & Aptitude Reasoning,Logical Reasoning,Medium,900,A bat and a ball together cost $1.10. The bat costs $1.00 more than the ball. How much does the ball cost?,5 cents,10 cents,15 cents,20 cents,OptionA
324169,Logical & Aptitude Reasoning,Logical Reasoning,Medium,900,A woman has two coins that add up to 30 cents. One coin is not a nickel. What are the two coins?,a quarter and a nickel,a quarter and a dime,a dime and a dime,a quarter and a penny,OptionB
324169,Logical & Aptitude Reasoning,Logical Reasoning,Medium,900,"You are in a room with three light switches. Each switch corresponds to one of three light bulbs in a room. Each bulb is either on or off. You can't see the bulbs from where you are, but you can turn the switches on and off as many times as you want. How can you figure out which switch belongs to which light bulb?","Turn two switches on, then turn one off, then enter the room.","Turn one switch on, then turn one switch off, then enter the room.","Turn one switch on and off in an alternating pattern, then enter the room.","Turn one switch on for 5 minutes, then turn one switch off, then enter the room.",OptionA
324169,Logical & Aptitude Reasoning,Logical Reasoning,Medium,900,"A man is looking at a photograph of someone. His friend asks him, 'Who is in the picture?' The man replies, 'Brothers and sisters, I have none. But that man's father is my father's son.' Who is in the picture?",His son,His brother,His father,Himself,OptionA
324169,Logical & Aptitude Reasoning,Logical Reasoning,Medium,900,"There are eight balls, and one of them will be slightly heavier or lighter than the rest. How can you find the heavier or lighter ball in only two weighings on a balance scale?","Divide the balls into three groups of three, two and three, and weigh the two groups of three.",Divide the balls into two groups of four and weigh them.,"Divide the balls into three groups of three, three and two, and weigh the two groups of three.","Divide the balls into two groups of four, weigh them, then take the heavier side and divide it into three and three, and weigh them.",OptionD
324169,Logical & Aptitude Reasoning,Logical Reasoning,Medium,900,"You are standing in a room with two doors and two guards. One door leads to certain death and the other door leads to freedom. One guard always tells the truth, and the other guard always lies. You don't know which guard is which or which door leads to freedom. You can ask one question to one guard. What question should you ask to ensure you choose the door to freedom?","If I were to ask the other guard which door leads to freedom, what would he say?",Which door leads to freedom?,"If I were to ask you which door leads to certain death, what would you say?",What is your name?,OptionA
324169,Logical & Aptitude Reasoning,Logical Reasoning,Medium,900,"A farmer has a wolf, a goat, and a cabbage. He must cross a river, but his boat can only hold himself and one of the items. If the wolf is left alone with the goat, it will eat the goat. If the goat is left alone with the cabbage, it will eat the cabbage. How can the farmer get everything across the river without anything being eaten?","The farmer takes the goat across first, then goes back and picks up the wolf, takes the wolf across, then goes back and picks up the goat, then takes the cabbage across, then goes back and picks up the goat.","The farmer takes the cabbage across first, then goes back and picks up the goat, takes the goat across, then goes back and picks up the wolf, then takes the wolf across, then goes back and picks up the cabbage.","The farmer takes the wolf across first, then goes back and picks up the cabbage, takes the cabbage across, then goes back and picks up the wolf, then takes the goat across, then goes back and picks up the cabbage.","The farmer takes the goat across first, then goes back and picks up the cabbage, takes the cabbage across, then goes back and picks up the goat, then takes the wolf across, then goes back and picks up the cabbage.",OptionA
324169,Logical & Aptitude Reasoning,Logical Reasoning,Medium,900,"A box contains 100 pens, each marked 'Defective' or 'Not Defective'. The probability of randomly selecting a defective pen is 1/3. If 5 pens are randomly removed from the box, what is the probability that all are defective?",1/101,1/243,1/24301,1/321,OptionA
