QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
640460,Technology & Computing,Programming Languages,Hard,1200,What is the primary purpose of garbage collection in programming languages like Java?,Optimize CPU usage,Free unused memory automatically,Handle input/output operations efficiently,Improve network communication,Free unused memory automatically
640460,Technology & Computing,Programming Languages,Hard,1200,Which programming paradigm focuses on the concept of objects and their interactions?,Procedural programming,Functional programming,Logical programming,Object-Oriented programming,Object-Oriented programming
640460,Technology & Computing,Programming Languages,Hard,1200,"In Python, what does the keyword 'yield' signify?",Terminate a script,Suspend a function and return a value,Define a variable type,Create an infinite loop,Suspend a function and return a value
640460,Technology & Computing,Programming Languages,Hard,1200,Which programming language is primarily known for its use in web development and runs in the browser?,Prolog,JavaScript,C++,Delphi,JavaScript
640460,Technology & Computing,Programming Languages,Hard,1200,What is the main feature of functional programming that differentiates it from imperative programming?,Use of classes and objects,Code is executed in sequential statements,Functions are treated as first-class citizens,It focuses on application state,Functions are treated as first-class citizens
640460,Technology & Computing,Programming Languages,Hard,1200,"In C++, what is the role of a virtual function?",To facilitate multiple inheritance,To define a global variable,To enable runtime polymorphism,To implement namespaces,To enable runtime polymorphism
640460,Technology & Computing,Programming Languages,Hard,1200,"Which symbolic language uses terms like facts, rules, and queries for programming?",Swift,Prolog,LISP,Pascal,Prolog
640460,Technology & Computing,Programming Languages,Hard,1200,What is the standard file extension used for Java source code files?,.jar,.jv,.java,.jav,.java
640460,Technology & Computing,Programming Languages,Hard,1200,What is the purpose of the 'async' keyword in JavaScript?,Run synchronous code,Indicates a function returns a Promise,Declares a variable,Ensures strict mode in execution,Indicates a function returns a Promise
640460,Technology & Computing,Programming Languages,Hard,1200,What does the acronym 'SQL' commonly stand for?,Structured Query Language,Simple Query Logic,Sequential Query Library,Standardized Query Language,Structured Query Language
