QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
209677,Coding & Interview Prep,Behavioral Interviews,Medium,900,What is the STAR method used for in behavioral interviews?,To assess a candidate's technical skills,To create a framework for answering behavioral interview questions,To evaluate a candidate's education,To assess a candidate's work experience,OptionB
209677,Coding & Interview Prep,Behavioral Interviews,Medium,900,What does the 'S' stand for in the STAR method?,Solution,Skill,Situation,Strength,OptionC
209677,Coding & Interview Prep,Behavioral Interviews,Medium,900,Which of the following is NOT a common type of behavioral interview question?,Teamwork and collaboration,Problem-solving,Culture fit,Intelligent quotient,OptionD
209677,Coding & Interview Prep,Behavioral Interviews,Medium,900,What should you do if you're struggling to answer a behavioral interview question?,Provide a generic answer,Make something up,Ask for clarification,Say 'I don't know',OptionC
209677,Coding & Interview Prep,Behavioral Interviews,Medium,900,Why do employers use behavioral interviews?,To assess a candidate's personality,To evaluate a candidate's technical skills,To predict a candidate's future behavior,To eliminate candidates with no work experience,OptionC
209677,Coding & Interview Prep,Behavioral Interviews,Medium,900,What is the difference between a behavioral interview and a traditional interview?,A traditional interview is more structured,A behavioral interview focuses on past experiences,A traditional interview is more relaxed,A behavioral interview is used to assess a candidate's creativity,OptionB
209677,Coding & Interview Prep,Behavioral Interviews,Medium,900,How should you structure your responses to behavioral interview questions?,"Start with a conclusion, then provide details",Use the STAR method,"Provide a brief answer, then elaborate",Answer in any order,OptionB
209677,Coding & Interview Prep,Behavioral Interviews,Medium,900,What can you learn from preparing for behavioral interviews?,Only how to answer behavioral questions,About the company culture,About the skills required for the job,About yourself and your strengths,OptionD
209677,Coding & Interview Prep,Behavioral Interviews,Medium,900,What should you focus on when answering behavioral interview questions?,Your weaknesses,Your skills and accomplishments,Your hobbies and interests,Your education,OptionB
209677,Coding & Interview Prep,Behavioral Interviews,Medium,900,Why is it important to use specific examples when answering behavioral interview questions?,To make your answers more interesting,To avoid talking about your weaknesses,To demonstrate your skills and experiences,To take up more time,OptionC
