QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
764047,Gaming,Game Lore,Medium,900,Marvel vs Capcom 2: New age of Heroes was released in what year?,1998,2003,2000,2001,2000
764047,Gaming,Game Lore,Medium,900,"In the video game ""League of Legends"" which character is known as ""The Sinister Blade""?",Shaco,Zed,Katarina,Akali,Katarina
764047,Gaming,Game Lore,Medium,900,"In Overwatch, what is Lúcio's full name?",Lúcio João Lucas,Lúcio Luiz Lós Guilherme,Lúcio Correia Dos Santos,Lúcio Chupar Prima,Lúcio Correia Dos Santos
764047,Gaming,Game Lore,Medium,900, Which of these champions from the MOBA 'League of Legends' is NOT a Yordle?,Lulu,Tristana,Veigar,Annie,Annie
764047,Gaming,Game Lore,Medium,900,Which of these games was the earliest known first-person shooter with a known time of publication?,Spasim,Quake,Doom,Wolfenstein,Spasim
764047,Gaming,Game Lore,Medium,900,"Who is the main protagonist of ""Ace Combat Zero: The Belkan War""?",Cipher,Blaze,Mobius 1,Pixy,Cipher
764047,Gaming,Game Lore,Medium,900,"In which location does Dark Sun Gwyndolin reside in ""Dark Souls""?",Blighttown,Firelink Shrine,Kiln of the first flame,Anor Londo,Anor Londo
764047,Gaming,Game Lore,Medium,900,"In the ""Call Of Duty: Zombies"" map ""Origins"", how many numbered power generators are there?",3,8,5,6,6
764047,Gaming,Game Lore,Medium,900,"In the ""Call Of Duty: Zombies"" map ""Origins"", how many steps are there to upgrade a Staff?",4,3,7,5,4
764047,Gaming,Game Lore,Medium,900,"Which of these is not a DLC vehicle in ""Mario Kart 8""?",Bone Rattler,300 SL Roadster,B Dasher,Wild Wiggler,Wild Wiggler
