QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
458551,Logical & Aptitude Reasoning,Puzzles & Brain Teasers,Medium,900,"A snail is at the bottom of a 20-foot well. Each day, it climbs up 3 feet, but at night, it slips back 2 feet. How many days will it take for the snail to reach the top of the well?",18 days,20 days,22 days,24 days,18 days
458551,Logical & Aptitude Reasoning,Puzzles & Brain Teasers,Medium,900,A bat and a ball together cost $1.10. The bat costs $1.00 more than the ball. How much does the ball cost?,$0.05,$0.10,$0.15,$0.20,$0.05
458551,Logical & Aptitude Reasoning,Puzzles & Brain Teasers,Medium,900,"You are in a room with three light switches. Each switch corresponds to one of three light bulbs in a room. Each light bulb is either on or off. You can turn the lights on and off as many times as you want, but you can only enter the room one time. How can you figure out which switch corresponds to which light bulb?","Turn switch 1 to on for 5 minutes, then turn it off. Turn switch 2 to on and go into the room.","Turn switch 1 to on, then turn switch 2 to on and off. Go into the room.","Turn switch 1 to on for 1 minute, then turn switch 2 to on for 1 minute. Go into the room.","Turn all switches on for 1 minute, then turn them off and go into the room.","Turn switch 1 to on for 5 minutes, then turn it off. Turn switch 2 to on and go into the room."
458551,Logical & Aptitude Reasoning,Puzzles & Brain Teasers,Medium,900,A woman has two coins that add up to 30 cents. One coin is not a nickel. What are the two coins?,A quarter and a nickel,A quarter and a dime,A dime and a dime,A nickel and a quarter,A quarter and a nickel
458551,Logical & Aptitude Reasoning,Puzzles & Brain Teasers,Medium,900,"You have 8 balls, and one of them will be slightly heavier or lighter than the others. How can you find the heavier or lighter ball in only 2 weighings on a balance scale?","Weigh 3 balls against 3 balls. If equal, weigh the last 2 balls against each other.","Weigh 2 balls against 2 balls. If equal, weigh the last 4 balls against each other.","Weigh 4 balls against 4 balls. If equal, weigh 2 of the remaining balls against each other.","Weigh 2 balls against each other. If equal, weigh the remaining 6 balls against each other.","Weigh 3 balls against 3 balls. If equal, weigh the last 2 balls against each other."
458551,Logical & Aptitude Reasoning,Puzzles & Brain Teasers,Medium,900,"There are three switches, but they are not labelled. Each switch corresponds to one of three light bulbs in a room. How can you figure out which switch corresponds to which light bulb?","Turn switch 1 to on for 5 minutes, then turn it off. Turn switch 2 to on and go into the room.","Turn switch 1 to on, then turn switch 2 to on and off. Go into the room.","Turn switch 1 to on for 1 minute, then turn switch 2 to on for 1 minute. Go into the room.","Turn all switches on for 1 minute, then turn them off and go into the room.","Turn switch 1 to on for 5 minutes, then turn it off. Turn switch 2 to on and go into the room."
458551,Logical & Aptitude Reasoning,Puzzles & Brain Teasers,Medium,900,"A man is looking at a photograph of someone. His friend asks him, 'Who is in the picture?' The man replies, 'Brothers and sisters, I have none. That man's father is my father's son.' Who is in the picture?",His son,His brother,His father,Himself,His son
458551,Logical & Aptitude Reasoning,Puzzles & Brain Teasers,Medium,900,"You are in a room with two doors. One door leads to certain death, and the other door leads to freedom. There are two guards, one standing in front of each door. One guard always tells the truth, and the other guard always lies. You don't know which guard is which or which door leads to freedom. You can ask one question to one guard. What question should you ask to ensure you choose the door to freedom?","If I were to ask the other guard which door leads to freedom, what would he say?",Which door leads to freedom?,Is the door you are standing in front of the door to freedom?,Are you the truth-telling guard?,"If I were to ask the other guard which door leads to freedom, what would he say?"
458551,Logical & Aptitude Reasoning,Puzzles & Brain Teasers,Medium,900,"There are three boxes, one containing only apples, one containing only oranges, and one containing both apples and oranges. The boxes are labelled, but the labels are wrong. How can you figure out which box contains which type of fruit by only asking one question?",Ask if the box labelled 'apples' contains only apples.,Ask if the box labelled 'oranges' contains only oranges.,Ask if the box labelled 'both' contains both apples and oranges.,Ask which box contains both apples and oranges.,Ask if the box labelled 'apples' contains only apples.
458551,Logical & Aptitude Reasoning,Puzzles & Brain Teasers,Medium,900,"A farmer has a fox, a goose, and a sack of beans. He must cross a river, but his boat can only hold himself and one of the three items at a time. If the fox is left alone with the goose, it will eat the goose. If the goose is left alone with the beans, it will eat the beans. How can the farmer get everything across the river safely?","Take the goose across first, then the beans, then the fox.","Take the beans across first, then the goose, then the fox.","Take the fox across first, then the goose, then the beans.","Take the goose across first, then the fox, then the beans.","Take the goose across first, then the beans, then the fox."
