QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
417209,Sports & Games,Esports,Medium,900,Which of the following games is most commonly associated with the esports title 'League of Legends'?,Blizzard Entertainment,Valve Corporation,Riot Games,Epic Games,Riot Games
417209,Sports & Games,Esports,Medium,900,What does the acronym 'CS:GO' stand for in the context of esports?,Combat Strike: Global Operations,Counter-Strike: Global Offensive,Critical Strike: Game Over,Counter-Squad: Ground Offensive,Counter-Strike: Global Offensive
417209,Sports & Games,Esports,Medium,900,Which organization hosts the annual 'The International' tournament for Dota 2?,Electronic Arts,Activision,Riot Games,Valve Corporation,Valve Corporation
417209,Sports & Games,Esports,Medium,900,In which year did esports become recognized as a medal event at the Asian Games?,2014,2018,2010,2022,2018
417209,Sports & Games,Esports,Medium,900,Which esports title is known for its battle royale format with 100 players dropping onto an island?,Overwatch,Fortnite,StarCraft II,Hearthstone,Fortnite
417209,Sports & Games,Esports,Medium,900,What is the primary role of a 'jungler' in games like League of Legends or Dota 2?,Defending the base,Roaming the map and farming neutral monsters,Healing teammates,Leading team strategy,Roaming the map and farming neutral monsters
417209,Sports & Games,Esports,Medium,900,Which of these esports titles is a real-time strategy game?,StarCraft II,Counter-Strike: Global Offensive,Rocket League,FIFA Online,StarCraft II
417209,Sports & Games,Esports,Medium,900,"Which country is often considered a powerhouse in esports, particularly in games like StarCraft and League of Legends?",Brazil,United States,South Korea,Germany,South Korea
417209,Sports & Games,Esports,Medium,900,What is the name of the professional esports league for Overwatch?,Overwatch Champions Series,Overwatch World Cup,Overwatch League,Overwatch Pro Tour,Overwatch League
417209,Sports & Games,Esports,Medium,900,Which of these esports games is primarily played in a 5v5 team format with an emphasis on vehicle-based soccer?,Rocket League,Call of Duty,Valorant,Apex Legends,Rocket League
