QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
758928,Competitive Exams,Teaching Eligibility Exams,Medium,900,Which of the following is an essential quality of a good teacher?,Strict discipline,Good communication skills,High IQ,A rigid approach,Good communication skills
758928,Competitive Exams,Teaching Eligibility Exams,Medium,900,What is the main purpose of formative assessment in teaching?,Certifying student achievements,Improving teaching and learning processes,Ranking students,Conducting large-scale evaluations,Improving teaching and learning processes
758928,Competitive Exams,Teaching Eligibility Exams,Medium,900,Which type of learning resource is most suitable for visual learners?,Audio podcasts,Diagrams and charts,Group discussions,Hands-on activities,Diagrams and charts
758928,Competitive Exams,Teaching Eligibility Exams,Medium,900,"In Bloom's Taxonomy, 'evaluation' is categorized at what level?",Lowest level,Middle level,Highest level,There is no 'evaluation' level,Highest level
758928,Competitive Exams,Teaching Eligibility Exams,Medium,900,What is the primary role of a teacher in a constructivist classroom?,To instruct and guide students step-by-step,To act as a facilitator of learning,To focus only on memorization techniques,To enforce strict discipline,To act as a facilitator of learning
758928,Competitive Exams,Teaching Eligibility Exams,Medium,900,Which teaching method is most effective for promoting higher-order thinking?,Role-playing activities,Lecture-style teaching,Rote memorization,Worksheet completion,Role-playing activities
758928,Competitive Exams,Teaching Eligibility Exams,Medium,900,What is the key characteristic of a democratic classroom environment?,Teacher makes all decisions,Students actively participate in decision-making,Free-use of physical resources,Rigid adherence to rules,Students actively participate in decision-making
758928,Competitive Exams,Teaching Eligibility Exams,Medium,900,Which theory emphasizes learning through observation and imitation?,Social Constructivism,Behaviorism,Humanistic Theory,Social Learning Theory,Social Learning Theory
758928,Competitive Exams,Teaching Eligibility Exams,Medium,900,What is the primary advantage of interdisciplinary teaching?,Focuses only on subject content,Encourages connections across multiple subjects,Simplifies curriculum for learners,Avoids complex topics,Encourages connections across multiple subjects
758928,Competitive Exams,Teaching Eligibility Exams,Medium,900,Which of the following represents an effective strategy for classroom management?,Creating clear rules and guidelines,Ignoring student misbehavior,Allowing unlimited freedom,Using punishment as the primary tool,Creating clear rules and guidelines
