QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
180763,Technology & Computing,Software Engineering,Easy,600,What does SDLC stand for in software development?,Software Development Lifecycle,Secure Data Link Control,System Data Layout Cycle,Source Direct Link Code,Software Development Lifecycle
180763,Technology & Computing,Software Engineering,Easy,600,Which programming language is often called the 'language of the web'?,Python,JavaScript,C++,Ruby,JavaScript
180763,Technology & Computing,Software Engineering,Easy,600,What is the main goal of software testing?,To create datatypes,To find and fix bugs or errors,To write code,To improve system hardware,To find and fix bugs or errors
180763,Technology & Computing,Software Engineering,Easy,600,Which of the following is NOT a software development model?,Waterfall model,Agile model,Quantum model,Spiral model,Quantum model
180763,Technology & Computing,Software Engineering,Easy,600,Which term refers to the process of converting user requirements into functional software?,Hardware integration,Software development,Reverse engineering,Application deployment,Software development
180763,Technology & Computing,Software Engineering,Easy,600,What is the purpose of a version control system like Git?,To track changes in files,To monitor computer hardware,To organize budget reports,To build computer applications,To track changes in files
180763,Technology & Computing,Software Engineering,Easy,600,Which software development model emphasizes iterative progress with continuous feedback?,Agile model,Waterfall model,Prototype model,V-Model,Agile model
180763,Technology & Computing,Software Engineering,Easy,600,What is an algorithm in software engineering?,A step-by-step procedure to solve a problem,A hardware component,A programming language,A code decryption tool,A step-by-step procedure to solve a problem
180763,Technology & Computing,Software Engineering,Easy,600,"In object-oriented programming, what does 'class' represent?",A programming error,A blueprint for objects,A variable name,A computational algorithm,A blueprint for objects
180763,Technology & Computing,Software Engineering,Easy,600,Which term refers to ensuring software performs as expected under various conditions?,Performance testing,Bug tracking,Coding standards,Documentation,Performance testing
