QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
418361,Entertainment & Pop Culture,OTT Platforms,Hard,1200,Which OTT platform is known for its original content like 'Stranger Things' and 'The Crown'?,Amazon Prime Video,Netflix,Hulu,Disney+,Netflix
418361,Entertainment & Pop Culture,OTT Platforms,Hard,1200,Which of the following OTT platforms is owned by The Walt Disney Company?,HBO Max,Apple TV+,Disney+,Paramount+,Disney+
418361,Entertainment & Pop Culture,OTT Platforms,Hard,1200,Which OTT platform offers a free trial period and is known for its original content like 'The Handmaid's Tale'?,Netflix,Hulu,Amazon Prime Video,Peacock,Hulu
418361,Entertainment & Pop Culture,OTT Platforms,Hard,1200,Which OTT platform is a relatively new entrant in the market and is known for its original content like 'The Morning Show'?,Disney+,HBO Max,Apple TV+,Netflix,Apple TV+
418361,Entertainment & Pop Culture,OTT Platforms,Hard,1200,"Which OTT platform is known for its large collection of TV shows and movies, including original content like 'Tom Clancy's Jack Ryan'?",Netflix,Hulu,Amazon Prime Video,Peacock,Amazon Prime Video
418361,Entertainment & Pop Culture,OTT Platforms,Hard,1200,Which of the following OTT platforms offers live TV streaming and is known for its original content like 'The Act'?,Hulu,Netflix,Disney+,Sling TV,Hulu
418361,Entertainment & Pop Culture,OTT Platforms,Hard,1200,Which OTT platform is known for its original content like 'Westworld' and 'Game of Thrones'?,Netflix,HBO Max,Amazon Prime Video,Disney+,HBO Max
418361,Entertainment & Pop Culture,OTT Platforms,Hard,1200,Which OTT platform offers a unique feature called 'Max' that allows users to watch content in 4K resolution?,Disney+,HBO Max,Apple TV+,Netflix,HBO Max
418361,Entertainment & Pop Culture,OTT Platforms,Hard,1200,"Which of the following OTT platforms is a free, ad-supported service that offers a wide range of TV shows and movies?",Tubi,Pluto TV,Peacock,Hulu,Tubi
418361,Entertainment & Pop Culture,OTT Platforms,Hard,1200,Which OTT platform is known for its original content like 'The Mandalorian' and 'Star Wars: The Clone Wars'?,Netflix,Hulu,Disney+,Amazon Prime Video,Disney+
