QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
691465,Arts & Humanities,Religion & Ethics,Easy,600,Which of the following is a key figure in Christianity?,Buddha,Jesus Christ,Muhammad,Gandhi,Jesus Christ
691465,Arts & Humanities,Religion & Ethics,Easy,600,What is the primary holy book of Islam?,The Bible,The Torah,The Quran,The Bhagavad Gita,The Quran
691465,Arts & Humanities,Religion & Ethics,Easy,600,In which religion is the concept of karma most prominent?,Christianity,Islam,Hinduism,Buddhism,Hinduism
691465,Arts & Humanities,Religion & Ethics,Easy,600,Who is the founder of Buddhism?,Jesus Christ,Muhammad,Siddhartha Gautama,Abraham,Siddhartha Gautama
691465,Arts & Humanities,Religion & Ethics,Easy,600,What is the name of the Jewish holy book?,The Torah,The Bible,The Quran,The Talmud,The Torah
691465,Arts & Humanities,Religion & Ethics,Easy,600,In which religion is the concept of reincarnation most prevalent?,Islam,Christianity,Hinduism,Buddhism,Hinduism
691465,Arts & Humanities,Religion & Ethics,Easy,600,Who is a key prophet in Islam?,Jesus Christ,Moses,Muhammad,Abraham,Muhammad
691465,Arts & Humanities,Religion & Ethics,Easy,600,What is the name of the Christian holy day that commemorates the resurrection of Jesus?,Christmas,Easter,Good Friday,Lent,Easter
691465,Arts & Humanities,Religion & Ethics,Easy,600,Which of the following is a key principle of Jainism?,The concept of a single God,The importance of reincarnation,Non-violence towards all living beings,The pursuit of material wealth,Non-violence towards all living beings
691465,Arts & Humanities,Religion & Ethics,Easy,600,What is the name of the Buddhist concept of enlightenment?,Nirvana,Karma,Reincarnation,Meditation,Nirvana
