QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
653506,Academic & Education,Social Sciences,Hard,1200,"Which of the following best describes the fundamental critique offered by agonistic pluralists (e.g., Chantal Mouffe) against Habermasian deliberative democracy?","Deliberative democracy falsely assumes a consensus-driven rationality, ignoring the ineradicable nature of power and antagonism in politics.",Deliberative democracy is too focused on economic inequality and fails to address cultural grievances.,Deliberative democracy lacks practical mechanisms for direct citizen participation.,Deliberative democracy overemphasizes individual rights at the expense of communal solidarity.,"Deliberative democracy falsely assumes a consensus-driven rationality, ignoring the ineradicable nature of power and antagonism in politics."
653506,Academic & Education,Social Sciences,Hard,1200,Pierre Bourdieu's concept of the 'hysteresis effect' primarily refers to which phenomenon within social reproduction?,The active resistance of subaltern groups against dominant cultural forms.,"The time-lagged incompatibility between a habitus formed under one set of objective conditions and new, changed objective conditions.",The immediate and reflexive adaptation of individuals' dispositions to novel social environments.,The cyclical nature of economic crises leading to periodic class restructuring.,"The time-lagged incompatibility between a habitus formed under one set of objective conditions and new, changed objective conditions."
653506,Academic & Education,Social Sciences,Hard,1200,"Dependency theory, particularly as articulated by figures like André Gunder Frank, fundamentally critiques Walt W. Rostow's 'Stages of Economic Growth' by arguing which of the following?",Rostow's model correctly identifies the stages but misunderstands the role of technological innovation.,"Rostow's linear progression fails to account for the historical exploitation of peripheral nations by core capitalist states, creating underdevelopment.",Rostow's theory is too focused on agricultural development and neglects industrialization's importance.,Rostow's model inaccurately predicts population growth patterns in developing economies.,"Rostow's linear progression fails to account for the historical exploitation of peripheral nations by core capitalist states, creating underdevelopment."
653506,Academic & Education,Social Sciences,Hard,1200,"In critical anthropology, the concept of 'reflexivity' gained prominence, particularly post-1960s, largely in response to which of the following?",The need for anthropologists to adopt more quantitative research methods.,"A recognition of the inherent power dynamics, positionality, and subjective biases of the ethnographer in shaping anthropological knowledge.","The desire to create universal, cross-cultural laws of human behavior, similar to natural sciences.","The imperative to fully integrate anthropologists into the communities they study, blurring researcher-subject distinctions.","A recognition of the inherent power dynamics, positionality, and subjective biases of the ethnographer in shaping anthropological knowledge."
653506,Academic & Education,Social Sciences,Hard,1200,"While both relate to attributing causes of behavior, the 'actor-observer bias' differentiates itself from the 'fundamental attribution error' primarily in that it describes:",The tendency for observers to attribute their own failures to external factors more than their successes.,The inclination to attribute others' behavior to internal dispositions while attributing one's own behavior to external situational factors.,The universal tendency to attribute all negative outcomes to dispositional factors.,The bias wherein individuals attribute positive outcomes to internal factors and negative outcomes to external ones for themselves.,The inclination to attribute others' behavior to internal dispositions while attributing one's own behavior to external situational factors.
653506,Academic & Education,Social Sciences,Hard,1200,Neil Smith's concept of 'uneven development' within a capitalist context primarily argues that:,Economic growth naturally equilibrates across regions over time due to market forces.,Capitalism inherently produces and reproduces spatial inequalities and geographical differentiation through its accumulation processes.,Technological advancements are the sole determinant of spatial disparities in development.,Government intervention is the primary cause of all regional economic disparities.,Capitalism inherently produces and reproduces spatial inequalities and geographical differentiation through its accumulation processes.
653506,Academic & Education,Social Sciences,Hard,1200,"The 'longue durée,' a central concept of the Annales School of history (e.g., Fernand Braudel), represents a methodological shift towards:",Emphasizing the decisive role of individual great leaders and political events in shaping history.,Analyzing the short-term impact of economic fluctuations and technological innovations.,"Studying deep, enduring structures, geographical influences, and slow-moving social and economic trends over centuries.",Focusing exclusively on archival documents and official state records for historical reconstruction.,"Studying deep, enduring structures, geographical influences, and slow-moving social and economic trends over centuries."
653506,Academic & Education,Social Sciences,Hard,1200,"In their critique of the 'culture industry,' Adorno and Horkheimer argued that its primary function under late capitalism is to:",Foster genuine artistic expression and critical thought among the masses.,"Produce standardized, commodified cultural goods that pacify the population and integrate them into the existing social order.",Provide a democratic platform for diverse voices and artistic experimentation.,"Serve as an independent sphere, separate from economic and political influences.","Produce standardized, commodified cultural goods that pacify the population and integrate them into the existing social order."
653506,Academic & Education,Social Sciences,Hard,1200,"Immanuel Wallerstein's World-Systems Theory incorporates the concept of 'hegemony' (e.g., British hegemony in the 19th century) to explain:",The cultural dominance of a single civilization over others through soft power alone.,"The period when a single core state simultaneously possesses economic productivity, commercial dominance, and financial superiority, allowing it to set rules for the world-economy.",The military superiority of a superpower without significant economic influence.,The political control exerted by semi-peripheral states over peripheral regions.,"The period when a single core state simultaneously possesses economic productivity, commercial dominance, and financial superiority, allowing it to set rules for the world-economy."
653506,Academic & Education,Social Sciences,Hard,1200,The central distinction between a hermeneutic approach and a positivist approach in social science research lies in their respective views on:,The necessity of using quantitative data in research.,The role of theory in guiding empirical investigations.,Whether social phenomena should be explained through causal laws (positivism) or understood through interpretation of meaning (hermeneutics).,The importance of ethical considerations when studying human subjects.,Whether social phenomena should be explained through causal laws (positivism) or understood through interpretation of meaning (hermeneutics).
