QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
694010,Technology & Computing,Cloud Computing,Medium,900,Which of the following models allows multiple tenants to share resources in cloud computing?,Public Cloud,Private Cloud,Hybrid Cloud,Community Cloud,Public Cloud
694010,Technology & Computing,Cloud Computing,Medium,900,What is the main characteristic of Platform as a Service (PaaS)?,It offers virtualized computing resources over the internet.,It provides software applications on a subscription basis.,It provides a platform allowing developers to build and deploy applications.,It combines both public and private cloud models.,It provides a platform allowing developers to build and deploy applications.
694010,Technology & Computing,Cloud Computing,Medium,900,Which technology enables high speed data transfer between servers in a cloud environment?,Elastic Load Balancing,Virtual Private Network,Software-Defined Networking,Content Delivery Network,Software-Defined Networking
694010,Technology & Computing,Cloud Computing,Medium,900,What is the main purpose of a Content Delivery Network (CDN) in cloud computing?,To monitor and manage virtual machines,To optimize the delivery of static and dynamic web content,To enforce secure logins for cloud services,To manage distributed databases,To optimize the delivery of static and dynamic web content
694010,Technology & Computing,Cloud Computing,Medium,900,Which type of cloud offers enhanced security by restricting access to a single organization?,Public Cloud,Community Cloud,Private Cloud,Hybrid Cloud,Private Cloud
694010,Technology & Computing,Cloud Computing,Medium,900,Which of the following is an advantage of cloud computing?,Complete elimination of data breaches,Scalability on-demand,High up-front costs,Contact with physical hardware,Scalability on-demand
694010,Technology & Computing,Cloud Computing,Medium,900,What does the term ‘elasticity’ signify in cloud computing?,Secure data storage,Ability to scale computing resources up or down as needed,Automated data backups,Shared resources among users,Ability to scale computing resources up or down as needed
694010,Technology & Computing,Cloud Computing,Medium,900,Which deployment model of cloud computing combines both private and public cloud features?,Private Cloud,Hybrid Cloud,Public Cloud,Community Cloud,Hybrid Cloud
694010,Technology & Computing,Cloud Computing,Medium,900,Which of the following is not a type of cloud service model?,Infrastructure as a Service (IaaS),Platform as a Service (PaaS),Software as a Service (SaaS),Development as a Service (DaaS),Development as a Service (DaaS)
694010,Technology & Computing,Cloud Computing,Medium,900,Which protocol is commonly used for file transfer in cloud environments?,HTTP,DNS,FTP,SNMP,FTP
