QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
147938,Entertainment & Pop Culture,Comics & Anime,Hard,1200,"In ""Highschool of the Dead"", where did Komuro and Saeko establish to meet after the bus explosion?",On The Main Bridge,Komuro's House,The Center Mall,Eastern Police Station,Eastern Police Station
147938,Entertainment & Pop Culture,Comics & Anime,Hard,1200,"Which animation studio animated ""Psycho Pass""?",Kyoto Animation,Production I.G,Shaft,Trigger,Production I.G
147938,Entertainment & Pop Culture,Comics & Anime,Hard,1200,Which of these names are not a character of JoJo's Bizarre Adventure?,George Joestar,Jean-Pierre Polnareff,JoJo Kikasu,Risotto Nero,JoJo Kikasu
147938,Entertainment & Pop Culture,Comics & Anime,Hard,1200,"Which animation studio animated ""Hidamari Sketch""?",Kyoto Animation,Shaft,Trigger,Production I.G,Shaft
147938,Entertainment & Pop Culture,Comics & Anime,Hard,1200,"In ""Jewelpet Sunshine"", what is the song that plays when Kanon and her friends bust out of prison?",Ruby Ring,Born to be Wild,Eye Of The Tiger,I Don't Want to Miss a Thing,I Don't Want to Miss a Thing
147938,Entertainment & Pop Culture,Comics & Anime,Hard,1200,Who was the Author of the manga Monster Hunter Orage?,Shin Yamamoto,Keiichi Hikami,Hiro Mashima,Hirohiko Araki,Hiro Mashima
147938,Entertainment & Pop Culture,Comics & Anime,Hard,1200,"In the ""Dragon Ball"" franchise, what is the name of Goku's brother?",Raditz,Vegeta,Gohan,Bardock,Raditz
147938,Entertainment & Pop Culture,Comics & Anime,Hard,1200,"In ""Hunter x Hunter"", which of the following is NOT a type of Nen aura?",Specialization,Restoration,Transmutation,Emission,Restoration
147938,Entertainment & Pop Culture,Comics & Anime,Hard,1200,"The ""To Love-Ru"" Manga was started in what year?",2005,2006,2004,2007,2006
147938,Entertainment & Pop Culture,Comics & Anime,Hard,1200,"What is the last line muttered in the anime film ""The End of Evangelion""?","""How disgusting.""","""Idiot, I won't let you kill me!""","""Goddammit, Shinji.""","""Nothing.""","""How disgusting."""
