QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
678465,Health & Medicine,Medical Entrance Prep,Easy,600,What is the primary function of the human heart?,To filter waste from the blood,To pump blood throughout the body,To breathe in oxygen,To digest food,To pump blood throughout the body
678465,Health & Medicine,Medical Entrance Prep,Easy,600,Which part of the brain controls movement?,Cerebrum,Cerebellum,Brainstem,Spinal cord,Cerebellum
678465,Health & Medicine,Medical Entrance Prep,Easy,600,What is the term for high blood pressure?,Hypotension,Hypertension,Hyperglycemia,Anemia,Hypertension
678465,Health & Medicine,Medical Entrance Prep,Easy,600,Which vitamin is essential for healthy bones?,Vitamin A,Vitamin C,Vitamin D,Vitamin E,Vitamin D
678465,Health & Medicine,Medical Entrance Prep,Easy,600,What is the medical term for a broken bone?,Fracture,Sprain,Strain,Dislocation,Fracture
678465,Health & Medicine,Medical Entrance Prep,Easy,600,Which organ filters waste from the blood?,Liver,Kidneys,Pancreas,Spleen,Kidneys
678465,Health & Medicine,Medical Entrance Prep,Easy,600,What is the term for a disease-causing microorganism?,Virus,Bacteria,Pathogen,Toxin,Pathogen
678465,Health & Medicine,Medical Entrance Prep,Easy,600,Which sense organ is responsible for hearing?,Eye,Ear,Nose,Tongue,Ear
678465,Health & Medicine,Medical Entrance Prep,Easy,600,What is the term for a surgical incision?,Incision,Excision,Amputation,Ligation,Incision
678465,Health & Medicine,Medical Entrance Prep,Easy,600,Which part of the body produces insulin?,Liver,Pancreas,Kidneys,Adrenal glands,Pancreas
