QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
683488,Science & Innovation,Research & Discoveries,Easy,600,What is the process by which scientists examine the natural world?,Experimentation,Research,Discovery,Observation,B
683488,Science & Innovation,Research & Discoveries,Easy,600,What is the term for a proposed explanation for a phenomenon?,Theory,Hypothesis,Law,Principle,B
683488,Science & Innovation,Research & Discoveries,Easy,600,Who is known for discovering gravity?,Galileo Galilei,Isaac Newton,Albert Einstein,Leonardo da Vinci,B
683488,Science & Innovation,Research & Discoveries,Easy,600,What is the scientific method used for?,To prove theories,To disprove hypotheses,To investigate and understand phenomena,To create new inventions,C
683488,Science & Innovation,Research & Discoveries,Easy,600,What type of research involves the collection of data through experiments or surveys?,Qualitative Research,Quantitative Research,Theoretical Research,Applied Research,B
683488,Science & Innovation,Research & Discoveries,Easy,600,What is the term for a well-substantiated explanation for a set of phenomena?,Hypothesis,Theory,Law,Principle,B
683488,Science & Innovation,Research & Discoveries,Easy,600,Which of the following is a key aspect of the scientific method?,Forming opinions,Conducting experiments,Making assumptions,Drawing conclusions without evidence,B
683488,Science & Innovation,Research & Discoveries,Easy,600,What is the primary goal of scientific research?,To create new products,To understand and explain natural phenomena,To prove a theory,To gain fame,B
683488,Science & Innovation,Research & Discoveries,Easy,600,Who is credited with the discovery of the structure of DNA?,James Watson and Francis Crick,Rosalind Franklin,Gregor Mendel,Charles Darwin,A
683488,Science & Innovation,Research & Discoveries,Easy,600,What is the term for the process of peer review in scientific research?,Quality control,Validation,Verification,Refereeing,D
