QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
785795,Competitive Exams,Medical Entrance Exams,Hard,1200,"A patient presents with hyperpigmentation, weakness, and severe hyponatremia. Lab results show: Na+ 118 mEq/L, K+ 6.2 mEq/L, glucose 80 mg/dL, ACTH elevated, and cortisol decreased. Which of the following is the most likely diagnosis?",Addison's disease,Cushing's syndrome,Primary hyperaldosteronism,Pheochromocytoma,Addison's disease
785795,Competitive Exams,Medical Entrance Exams,Hard,1200,"During DNA replication in E. coli, which enzyme is primarily responsible for synthesizing RNA primers required for the initiation of Okazaki fragments on the lagging strand?",DNA polymerase I,DNA polymerase III,Primase,DNA ligase,Primase
785795,Competitive Exams,Medical Entrance Exams,Hard,1200,"A 45-year-old woman has a history of recurrent kidney stones. Her laboratory tests reveal: serum calcium 11.8 mg/dL (normal 8.5-10.5 mg/dL), serum phosphate 2.1 mg/dL (normal 2.5-4.5 mg/dL), and elevated PTH. Which of the following is the most probable underlying cause?",Vitamin D deficiency,Primary hyperparathyroidism,Hypercalcemia of malignancy,Secondary hyperparathyroidism,Primary hyperparathyroidism
785795,Competitive Exams,Medical Entrance Exams,Hard,1200,"In the context of cardiac physiology, the 'isovolumetric contraction phase' of the cardiac cycle is characterized by which of the following?",The mitral valve is open; the aortic valve is closed,Both the mitral and aortic valves are open,Both the mitral and aortic valves are closed,The mitral valve is closed; the aortic valve is open,Both the mitral and aortic valves are closed
785795,Competitive Exams,Medical Entrance Exams,Hard,1200,A research study involves a drug that acts as a competitive antagonist at beta-1 adrenergic receptors. What would be the primary effect of administering this drug to a healthy individual at rest?,Increased heart rate and increased contractility,Decreased heart rate and decreased contractility,Vasodilation and decreased peripheral resistance,Bronchoconstriction and mucus secretion,Decreased heart rate and decreased contractility
785795,Competitive Exams,Medical Entrance Exams,Hard,1200,A patient with a suspected chromosomal disorder undergoes karyotyping. The analysis reveals 47 chromosomes with an extra copy of chromosome 21. What is the most common mechanism responsible for this condition?,Robertsonian translocation,Meiotic nondisjunction,Chromosomal inversion,Mosaic trisomy,Meiotic nondisjunction
785795,Competitive Exams,Medical Entrance Exams,Hard,1200,"In a classic experiment studying feedback inhibition, the end product 'E' of a five-step enzymatic pathway (A→B→C→D→E) inhibits the enzyme that catalyzes the A→B step. What is the primary advantage of this regulatory mechanism?",It prevents the accumulation of intermediate metabolites,It speeds up the rate of the entire pathway,It conserves energy and raw materials by preventing overproduction,It ensures genetic stability throughout the reaction,It conserves energy and raw materials by preventing overproduction
785795,Competitive Exams,Medical Entrance Exams,Hard,1200,"According to the Frank-Starling mechanism of the heart, an increase in ventricular end-diastolic volume (VEDV) will result in which of the following changes?",A decrease in cardiac output,An increase in cardiac output,An increase in myocardial oxygen consumption only,A decrease in stroke volume,An increase in cardiac output
785795,Competitive Exams,Medical Entrance Exams,Hard,1200,"During an acute inflammatory response, which cell type is the first to migrate from the bloodstream to the site of tissue injury?",Neutrophils,Macrophages,Lymphocytes,Eosinophils,Neutrophils
785795,Competitive Exams,Medical Entrance Exams,Hard,1200,"A scientist is studying the pharmacokinetics of a new drug. The drug has a volume of distribution (Vd) of 250 L and is eliminated with a half-life (t₁/₂) of 8 hours. If the target therapeutic plasma concentration is 10 mg/L, what is the loading dose required to achieve this concentration rapidly? (Use formula: Loading Dose = Vd × Target Concentration)",250 mg,500 mg,2500 mg,"10,000 mg",2500 mg
