QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
269584,Academic & Education,Engineering,Easy,600,What is the primary goal of engineering?,Writing novels,Solving practical problems and designing solutions,Composing music,Painting portraits,Solving practical problems and designing solutions
269584,Academic & Education,Engineering,Easy,600,"Which branch of engineering focuses on the design and construction of buildings, bridges, and infrastructure?",Electrical Engineering,Civil Engineering,Software Engineering,Chemical Engineering,Civil Engineering
269584,Academic & Education,Engineering,Easy,600,What is a common tool used by engineers to make precise measurements?,A paintbrush,A microscope,A ruler or caliper,A musical instrument,A ruler or caliper
269584,Academic & Education,Engineering,Easy,600,"An engineer who designs circuits, power systems, and electronic devices works in which field?",Mechanical Engineering,Biomedical Engineering,Electrical Engineering,Aerospace Engineering,Electrical Engineering
269584,Academic & Education,Engineering,Easy,600,"What type of engineer typically designs and analyzes moving parts, machines, and engines?",Chemical Engineer,Mechanical Engineer,Environmental Engineer,Architectural Engineer,Mechanical Engineer
269584,Academic & Education,Engineering,Easy,600,"Before a new product is mass-produced, engineers often create a preliminary working model. What is this called?",A sketch,A prototype,A blueprint,A simulation,A prototype
269584,Academic & Education,Engineering,Easy,600,Which of the following materials is commonly used in structural engineering due to its strength and durability?,Cotton,Paper,Steel,Glass,Steel
269584,Academic & Education,Engineering,Easy,600,What is a crucial skill for engineers when working on complex projects with others?,Public speaking,Teamwork and communication,Advanced cooking skills,Artistic drawing,Teamwork and communication
269584,Academic & Education,Engineering,Easy,600,Why is problem-solving considered a fundamental aspect of engineering?,Engineers only create problems,Engineering aims to find solutions to challenges and improve existing systems,Problem-solving is only for mathematicians,It makes projects longer,Engineering aims to find solutions to challenges and improve existing systems
269584,Academic & Education,Engineering,Easy,600,"Which discipline focuses on the design, development, and testing of computer software?",Civil Engineering,Mechanical Engineering,Software Engineering,Mining Engineering,Software Engineering
