QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
531946,General Knowledge,Science & Technology Awareness,Medium,900,Which base pair is correct in DNA?,A-C,A-G,A-T,A-U,C
531946,General Knowledge,Science & Technology Awareness,Medium,900,What is the SI unit of electrical resistance?,Ampere,Ohm,Volt,Watt,B
531946,General Knowledge,Science & Technology Awareness,Medium,900,Which planet currently has the most moons in our solar system?,Uranus,Neptune,Jupiter,Saturn,D
531946,General Knowledge,Science & Technology Awareness,Medium,900,Who is credited with inventing the World Wide Web?,Steve Jobs,Bill Gates,Mark Zuckerberg,Tim Berners-Lee,D
531946,General Knowledge,Science & Technology Awareness,Medium,900,Which gas constitutes the largest percentage of Earth's atmosphere?,Nitrogen,Oxygen,Carbon Dioxide,Argon,A
531946,General Knowledge,Science & Technology Awareness,Medium,900,What process do plants use to convert sunlight into chemical energy?,Respiration,Fermentation,Digestion,Photosynthesis,D
531946,General Knowledge,Science & Technology Awareness,Medium,900,What is the largest organ in the human body?,Large Intestine,Liver,Skin,Lungs,C
531946,General Knowledge,Science & Technology Awareness,Medium,900,Which programming language is primarily used for client-side web scripting?,Java,C++,Python,JavaScript,D
531946,General Knowledge,Science & Technology Awareness,Medium,900,Which element has the highest melting point?,Platinum,Gold,Tungsten,Iron,C
531946,General Knowledge,Science & Technology Awareness,Medium,900,Which instrument measures atmospheric pressure?,Hygrometer,Anemometer,Thermometer,Barometer,D
