QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
432068,Coding & Interview Prep,Object-Oriented Programming,Medium,900,What is the primary purpose of encapsulation in object-oriented programming?,To hide internal implementation details and expose only necessary information,To promote code reusability,To implement inheritance,To create a new class,OptionA
432068,Coding & Interview Prep,Object-Oriented Programming,Medium,900,Which of the following is NOT a principle of object-oriented programming?,Abstraction,Encapsulation,Inheritance,Imperative programming,OptionD
432068,Coding & Interview Prep,Object-Oriented Programming,Medium,900,What is the term for creating a new class based on an existing class?,Instantiation,Inheritance,Polymorphism,Encapsulation,OptionB
432068,Coding & Interview Prep,Object-Oriented Programming,Medium,900,What is the term for the ability of an object to take on multiple forms?,Overloading,Overriding,Polymorphism,Abstraction,OptionC
432068,Coding & Interview Prep,Object-Oriented Programming,Medium,900,What is the purpose of the 'this' keyword in object-oriented programming?,To refer to the current class,To refer to the parent class,To refer to the current object,To refer to the entire program,OptionC
432068,Coding & Interview Prep,Object-Oriented Programming,Medium,900,What is the term for a block of code that is executed when an object is created?,Constructor,Destructor,Method,Property,OptionA
432068,Coding & Interview Prep,Object-Oriented Programming,Medium,900,Which of the following is an example of a composition relationship in object-oriented programming?,A car has an engine,A car is a vehicle,A car has wheels,A car is faster than a bike,OptionA
432068,Coding & Interview Prep,Object-Oriented Programming,Medium,900,What is the term for the process of hiding internal implementation details and exposing only necessary information to the outside world?,Abstraction,Encapsulation,Inheritance,Polymorphism,OptionB
432068,Coding & Interview Prep,Object-Oriented Programming,Medium,900,What is the purpose of a class interface in object-oriented programming?,To define the implementation details of a class,To define the expected behavior of a class,To define the state of a class,To define the name of a class,OptionB
432068,Coding & Interview Prep,Object-Oriented Programming,Medium,900,Which of the following is an example of a runtime polymorphism?,Method overriding,Method overloading,Operator overloading,Function overloading,OptionA
