QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
964089,Fun & Casual,Brain Games,Easy,600,How many obsidian blocks are required to build a nether portal in Minecraft?,10,13,14,16,10
964089,Fun & Casual,Brain Games,Easy,600,"If a ""360 no-scope"" is one full rotation before shooting, how many rotations would a ""1080 no-scope"" be?",3,2,4,5,3
964089,Fun & Casual,Brain Games,Easy,600,How many flagship monsters appear in Monster Hunter Gernerations?,2,1,4,3,4
964089,Fun & Casual,Brain Games,Easy,600,"In which mall does ""Dead Rising"" take place?",Central Square Shopping Center,Twin Pines Mall,Liberty Mall,Willamette Parkview Mall,Willamette Parkview Mall
964089,Fun & Casual,Brain Games,Easy,600,"In World of Warcraft's Mists of Pandaria expansion, What was the level cap?",80,85,90,75,90
964089,Fun & Casual,Brain Games,Easy,600,Which of the following is not a character in the video game Doki Doki Literature Club?,Monika,Sayori,Nico,Natsuki,Nico
964089,Fun & Casual,Brain Games,Easy,600,Who is the leader of the Brotherhood of Nod in the Command and Conquer series?,CABAL,Yuri,Joseph Stalin,Kane,Kane
964089,Fun & Casual,Brain Games,Easy,600,Who turns out to be the true victor in the Battle of Armageddon in Mortal Kombat?,Liu Kang,Shao Kahn,Shang Tsung,Raiden,Shao Kahn
964089,Fun & Casual,Brain Games,Easy,600,What is the main ship used by Commander Shepard in the Mass Effect Franchise called?,Infinity,Endeavour,Normandy,Osiris,Normandy
964089,Fun & Casual,Brain Games,Easy,600,"In the 2002 video game ""Kingdom Hearts"", how many Keyblades are usable?",18,16,13,15,18
