QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
921371,Gaming,Game Lore,Easy,600,What does Solid Snake use to hide himself with?,Cardboard Box,Cardboard cut-out,Cloaking Device,Metal Crate,Cardboard Box
921371,Gaming,Game Lore,Easy,600,"The games Cry of Fear, Natural Selection and Counter-Strike were originally mods for what video game?",Half-Life,Doom,Arma 2,Warcraft III,Half-Life
921371,Gaming,Game Lore,Easy,600,"What game mode was not in the original ""Wii Sports""?",Baseball,Boxing,Bowling,Table Tennis,Table Tennis
921371,Gaming,Game Lore,Easy,600,"What is the name of the game developer who created ""Call Of Duty: Zombies""?",Naughty Dog,Treyarch,Infinity Ward,Sledgehammer Games,Treyarch
921371,Gaming,Game Lore,Easy,600,"In what year was ""Metal Gear Solid"" released in North America?",2004,1987,2001,1998,1998
921371,Gaming,Game Lore,Easy,600,"In ""Xenoblade Chronicles 2"", Which party member cannot use normal blades?",Zeke,Nia,Tora,Rex,Tora
921371,Gaming,Game Lore,Easy,600,"In what year was ""Antichamber"" released?",2011,2013,2014,2012,2013
921371,Gaming,Game Lore,Easy,600,"In the ""Hitman"" series, what is the name of the main character?",Agent 27,Agent Smith,Agent 47,Agent 67,Agent 47
921371,Gaming,Game Lore,Easy,600,"In Kingdom Hearts, how many members does Organization XIII have in total?",13,12,14,10,14
921371,Gaming,Game Lore,Easy,600,Who is the main antagonist of Ori and the Blind Forest?,Nibel,King Rammer XII,Gumo,Kuro,Kuro
