QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
238708,Health & Medicine,Diseases & Disorders,Easy,600,What is the most common cause of the common cold?,Bacteria,Virus,Fungus,Allergy,B
238708,Health & Medicine,Diseases & Disorders,Easy,600,What does diabetes primarily affect?,Blood sugar,Blood pressure,Heart rate,Breathing,A
238708,Health & Medicine,Diseases & Disorders,Easy,600,Which of the following is a common symptom of asthma?,Stomach pain,Headache,Difficulty breathing,High fever,C
238708,Health & Medicine,Diseases & Disorders,Easy,600,How is HIV most commonly transmitted?,Sneezing,Eating contaminated food,Mosquito bites,Unprotected sex,D
238708,Health & Medicine,Diseases & Disorders,Easy,600,What is hypertension also known as?,Low blood pressure,High blood pressure,Fast heart rate,Slow heart rate,B
238708,Health & Medicine,Diseases & Disorders,Easy,600,What is the primary cause of tooth decay?,Virus,Genetics,Bacteria,Injury,C
238708,Health & Medicine,Diseases & Disorders,Easy,600,Which symptom is often associated with anemia?,Fatigue,Rash,Cough,Nausea,A
238708,Health & Medicine,Diseases & Disorders,Easy,600,What is one of the best ways to prevent the flu?,Eating sweets,Smoking,Drinking alcohol,Vaccination,D
238708,Health & Medicine,Diseases & Disorders,Easy,600,What is osteoporosis characterized by?,Weak muscles,Heart disease,Weak bones,Lung disease,C
238708,Health & Medicine,Diseases & Disorders,Easy,600,What is a recommended first aid for a sprain?,Surgery,Rest and ice,Antibiotics,Chemotherapy,B
