QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
844340,Academic & Education,Medical & Health Sciences,Hard,1200,"Levetiracetam, an anti-epileptic drug, primarily exerts its therapeutic effects through which of the following mechanisms?",Potentiation of GABA-mediated inhibitory currents.,Blockade of voltage-gated sodium channels.,Modulation of synaptic vesicle glycoprotein 2A (SV2A).,Inhibition of T-type calcium channels.,Modulation of synaptic vesicle glycoprotein 2A (SV2A).
844340,Academic & Education,Medical & Health Sciences,Hard,1200,A 45-year-old patient presents with acute promyelocytic leukemia (APL). Which of the following chromosomal translocations is the hallmark of APL and is crucial for its distinct therapeutic approach using all-trans retinoic acid (ATRA)?,t(9;22) (BCR-ABL1),t(15;17) (PML-RARA),t(8;14) (MYC-IGH),inv(16) (CBFB-MYH11),t(15;17) (PML-RARA)
844340,Academic & Education,Medical & Health Sciences,Hard,1200,"In the context of Syndrome of Inappropriate Antidiuretic Hormone (SIADH), which of the following accurately describes the primary renal tubular response to excessively high circulating levels of ADH?",Increased permeability of the proximal convoluted tubule to water via aquaporin-1.,Decreased reabsorption of sodium in the thick ascending limb of the loop of Henle.,Upregulation of aquaporin-2 channels in the collecting duct principal cells.,Enhanced secretion of potassium in the distal convoluted tubule.,Upregulation of aquaporin-2 channels in the collecting duct principal cells.
844340,Academic & Education,Medical & Health Sciences,Hard,1200,"A patient presents with symptoms suggestive of an autoimmune blistering skin disease. Immunofluorescence studies reveal IgG autoantibodies targeting desmoglein 3, sometimes with desmoglein 1. Which condition is most strongly indicated by these findings?",Bullous Pemphigoid,Dermatitis Herpetiformis,Pemphigus Vulgaris,Epidermolysis Bullosa Acquisita,Pemphigus Vulgaris
844340,Academic & Education,Medical & Health Sciences,Hard,1200,"A cohort study investigates the association between exposure to a certain pesticide and the development of Parkinson's disease. Researchers follow exposed and unexposed individuals for 20 years. If participants lost to follow-up are more likely to be exposed individuals who developed early, subtle symptoms of Parkinson's and withdrew due to health concerns, which type of bias is most likely introduced?",Recall bias,Observer bias,Selection bias,Information bias,Selection bias
844340,Academic & Education,Medical & Health Sciences,Hard,1200,"In the context of next-generation sequencing (NGS) for diagnosing genetic disorders, which of the following best describes the primary advantage of whole exome sequencing (WES) over whole genome sequencing (WGS) for routine clinical diagnostics of mendelian disorders?",WES provides superior detection of structural variations and mitochondrial DNA mutations.,"WES is significantly more cost-effective and generates a smaller, more manageable data set focused on protein-coding regions.","WES offers comprehensive coverage of non-coding regulatory regions, which are often implicated in disease.","WES allows for direct quantification of gene expression levels, aiding in functional analysis.","WES is significantly more cost-effective and generates a smaller, more manageable data set focused on protein-coding regions."
844340,Academic & Education,Medical & Health Sciences,Hard,1200,"A patient with chronic kidney disease presents with severe metabolic acidosis (pH 7.18, HCO3- 10 mEq/L) and an elevated anion gap (22 mEq/L). Assuming normal lactate and salicylate levels, which of the following is the most appropriate initial intervention, beyond addressing the underlying cause?",Intravenous normal saline infusion to correct volume depletion.,Administration of oral sodium bicarbonate to raise serum bicarbonate.,"Administration of intravenous sodium bicarbonate, carefully monitoring for fluid overload and hypernatremia.",Initiation of continuous renal replacement therapy (CRRT).,"Administration of intravenous sodium bicarbonate, carefully monitoring for fluid overload and hypernatremia."
844340,Academic & Education,Medical & Health Sciences,Hard,1200,Alzheimer's disease is characterized by the accumulation of amyloid-beta plaques and neurofibrillary tangles. The neurofibrillary tangles are composed primarily of hyperphosphorylated forms of which protein?,Alpha-synuclein,TDP-43,Tau protein,Huntingtin protein,Tau protein
844340,Academic & Education,Medical & Health Sciences,Hard,1200,"Sotalol is a unique antiarrhythmic agent classified as a Class III drug, but it also possesses Class II properties. Its primary Class III antiarrhythmic effect is mediated by which of the following?",Blockade of voltage-gated sodium channels.,Non-selective beta-adrenergic receptor blockade.,Blockade of the delayed rectifier potassium current (IKr).,Calcium channel blockade in the AV node.,Blockade of the delayed rectifier potassium current (IKr).
844340,Academic & Education,Medical & Health Sciences,Hard,1200,"In the context of allogeneic organ transplantation, the direct pathway of allorecognition primarily involves host T cells recognizing which of the following?",Donor MHC molecules presented by host antigen-presenting cells (APCs).,Minor histocompatibility antigens presented by host APCs.,Intact donor MHC molecules expressed on the surface of donor APCs within the graft.,Soluble donor antigens processed and presented by host B cells.,Intact donor MHC molecules expressed on the surface of donor APCs within the graft.
