QuizID,Category,Subtopic,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
822713,General Knowledge,Static GK,Medium,900,Which strait connects the Black Sea to the Sea of Marmara?,Dardanelles,Gibraltar,Bosporus,Malacca,Bosporus
822713,General Knowledge,Static GK,Medium,900,What is the currency of Thailand?,Baht,Ringgit,Dong,Rupiah,Baht
822713,General Knowledge,Static GK,Medium,900,Machu Picchu is located in which country?,Bolivia,Mexico,Chile,Peru,Peru
822713,General Knowledge,Static GK,Medium,900,Which is the longest river in Europe?,Danube,Volga,Dnieper,Rhine,Volga
822713,General Knowledge,Static GK,Medium,900,Where is the International Court of Justice headquartered?,Geneva,New York,Vienna,The Hague,The Hague
822713,General Knowledge,Static GK,Medium,900,Gir National Park in India is famous for which animal?,Bengal tiger,Asiatic lion,Snow leopard,One-horned rhinoceros,Asiatic lion
822713,General Knowledge,Static GK,Medium,900,What is the national motto of India inscribed on the State Emblem?,Satyameva Jayate,Jai Hind,Vande Mataram,Sarve Bhavantu Sukhinah,Satyameva Jayate
822713,General Knowledge,Static GK,Medium,900,What is the chemical symbol for silver?,Au,Ag,Pt,Pb,Ag
822713,General Knowledge,Static GK,Medium,900,Which is the largest hot desert in the world?,Sahara,Gobi,Arabian,Kalahari,Sahara
822713,General Knowledge,Static GK,Medium,900,The Statue of Unity is dedicated to which Indian leader?,Mahatma Gandhi,B. R. Ambedkar,Subhas Chandra Bose,Sardar Vallabhbhai Patel,Sardar Vallabhbhai Patel
